PERMNO,date,TICKER,COMNAM,PRC,VOL
14593,06/10/2016,AAPL,APPLE INC,98.83000,31714740
14593,06/13/2016,AAPL,APPLE INC,97.34000,38063179
14593,06/14/2016,AAPL,APPLE INC,97.46000,31931944
14593,06/15/2016,AAPL,APPLE INC,97.14000,29445947
14593,06/16/2016,AAPL,APPLE INC,97.55000,31240816
14593,06/17/2016,AAPL,APPLE INC,95.33000,61008499
14593,06/20/2016,AAPL,APPLE INC,95.10000,34411901
14593,06/21/2016,AAPL,APPLE INC,95.91000,35547058
14593,06/22/2016,AAPL,APPLE INC,95.55000,29709624
14593,06/23/2016,AAPL,APPLE INC,96.10000,32241424
14593,06/24/2016,AAPL,APPLE INC,93.40000,75211627
14593,06/27/2016,AAPL,APPLE INC,92.04000,46625252
14593,06/28/2016,AAPL,APPLE INC,93.59000,40449051
14593,06/29/2016,AAPL,APPLE INC,94.40000,36531006
14593,06/30/2016,AAPL,APPLE INC,95.60000,35920357
14702,03/01/2016,AMAT,APPLIED MATERIALS INC,19.37000,10151748
14702,03/02/2016,AMAT,APPLIED MATERIALS INC,19.49000,11373277
14702,03/03/2016,AMAT,APPLIED MATERIALS INC,19.45000,8138339
14702,03/04/2016,AMAT,APPLIED MATERIALS INC,19.39000,8932573
14702,03/07/2016,AMAT,APPLIED MATERIALS INC,19.44000,9204121
14702,03/08/2016,AMAT,APPLIED MATERIALS INC,18.78000,12899048
14702,03/09/2016,AMAT,APPLIED MATERIALS INC,19.17000,10108295
14702,03/10/2016,AMAT,APPLIED MATERIALS INC,19.57000,15402073
14702,03/11/2016,AMAT,APPLIED MATERIALS INC,20.03500,15394672
14702,03/14/2016,AMAT,APPLIED MATERIALS INC,19.91000,11496355
14702,03/15/2016,AMAT,APPLIED MATERIALS INC,19.90000,10204257
14702,03/16/2016,AMAT,APPLIED MATERIALS INC,20.05000,14363048
14702,03/17/2016,AMAT,APPLIED MATERIALS INC,20.28000,13491109
14702,03/18/2016,AMAT,APPLIED MATERIALS INC,20.49000,19742301
14702,03/21/2016,AMAT,APPLIED MATERIALS INC,20.73000,13961016
14702,03/22/2016,AMAT,APPLIED MATERIALS INC,20.78000,7579623
14702,03/23/2016,AMAT,APPLIED MATERIALS INC,20.28000,12699150
14702,03/24/2016,AMAT,APPLIED MATERIALS INC,20.15000,14108546
14702,03/28/2016,AMAT,APPLIED MATERIALS INC,20.20000,5424261
14702,03/29/2016,AMAT,APPLIED MATERIALS INC,20.59000,7850893
14702,03/30/2016,AMAT,APPLIED MATERIALS INC,21.04000,12446156
14702,03/31/2016,AMAT,APPLIED MATERIALS INC,21.18000,14526487
14702,04/01/2016,AMAT,APPLIED MATERIALS INC,21.42000,11886704
14702,04/04/2016,AMAT,APPLIED MATERIALS INC,21.17000,7935324
14702,04/05/2016,AMAT,APPLIED MATERIALS INC,20.95000,8911608
14702,04/06/2016,AMAT,APPLIED MATERIALS INC,21.06000,8766800
14702,04/07/2016,AMAT,APPLIED MATERIALS INC,20.80000,9180765
14702,04/08/2016,AMAT,APPLIED MATERIALS INC,20.79000,8668112
14702,04/11/2016,AMAT,APPLIED MATERIALS INC,20.94000,13809982
14702,04/12/2016,AMAT,APPLIED MATERIALS INC,20.93000,8306083
14702,04/13/2016,AMAT,APPLIED MATERIALS INC,21.31000,8393588
14702,04/14/2016,AMAT,APPLIED MATERIALS INC,21.48000,18154170
14702,04/15/2016,AMAT,APPLIED MATERIALS INC,21.47000,12351577
14702,04/18/2016,AMAT,APPLIED MATERIALS INC,21.56000,9351868
14702,04/19/2016,AMAT,APPLIED MATERIALS INC,21.20000,12243030
14702,04/20/2016,AMAT,APPLIED MATERIALS INC,21.14000,13616651
14702,04/21/2016,AMAT,APPLIED MATERIALS INC,20.94500,8925869
14702,04/22/2016,AMAT,APPLIED MATERIALS INC,21.10000,9139325
14702,04/25/2016,AMAT,APPLIED MATERIALS INC,20.94000,6772343
14702,04/26/2016,AMAT,APPLIED MATERIALS INC,21.27000,9230905
14702,04/27/2016,AMAT,APPLIED MATERIALS INC,21.42000,9512579
14702,04/28/2016,AMAT,APPLIED MATERIALS INC,20.81000,10874821
14702,04/29/2016,AMAT,APPLIED MATERIALS INC,20.47000,14884513
14702,05/02/2016,AMAT,APPLIED MATERIALS INC,20.31000,11773450
14702,05/03/2016,AMAT,APPLIED MATERIALS INC,20.10000,16630824
