gvkey,iid,datadate,tic,cshtrd,prccd,gind,sic,,,
1878,1,6/15/2016,ADSK,1452147,56.61,451030,7370,,,
1878,1,6/16/2016,ADSK,1437504,56.77,451030,7370,,,
1878,1,6/17/2016,ADSK,2216984,56.68,451030,7370,,,
1878,1,6/20/2016,ADSK,1080177,57.56,451030,7370,,,
1878,1,6/21/2016,ADSK,1078406,58.07,451030,7370,,,
1878,1,6/22/2016,ADSK,1071480,57.38,451030,7370,,,
1878,1,6/23/2016,ADSK,1410187,59.06,451030,7370,,,
1878,1,6/24/2016,ADSK,4567322,54.04,451030,7370,,,
1878,1,6/27/2016,ADSK,4721108,50.54,451030,7370,,,
1878,1,6/28/2016,ADSK,2459798,51.48,451030,7370,,,
1878,1,6/29/2016,ADSK,2449679,53.22,451030,7370,,,
1878,1,6/30/2016,ADSK,1875376,54.14,451030,7370,,,
1891,1,3/1/2016,ADP,1579881,86.77,451020,7374,,,
1891,1,3/2/2016,ADP,2060266,85.65,451020,7374,,,
1891,1,3/3/2016,ADP,1700511,85.65,451020,7374,,,
1891,1,3/4/2016,ADP,1582697,86.19,451020,7374,,,
1891,1,3/7/2016,ADP,1400721,86.09,451020,7374,,,
1891,1,3/8/2016,ADP,1758109,85.49,451020,7374,,,
1891,1,3/9/2016,ADP,1636663,85.72,451020,7374,,,
1891,1,3/10/2016,ADP,1528377,85.2,451020,7374,,,
1891,1,3/11/2016,ADP,1863437,87.27,451020,7374,,,
1891,1,3/14/2016,ADP,1311980,87.27,451020,7374,,,
1891,1,3/15/2016,ADP,1195064,87.32,451020,7374,,,
1891,1,3/16/2016,ADP,1087995,87.66,451020,7374,,,
1891,1,3/17/2016,ADP,1482159,88.84,451020,7374,,,
1891,1,3/18/2016,ADP,3207912,88.64,451020,7374,,,
1891,1,3/21/2016,ADP,1575212,89.01,451020,7374,,,
1891,1,3/22/2016,ADP,1215637,88.64,451020,7374,,,
1891,1,3/23/2016,ADP,1188961,88.53,451020,7374,,,
1891,1,3/24/2016,ADP,1035411,88.75,451020,7374,,,
1891,1,3/28/2016,ADP,1325131,88.3,451020,7374,,,
1891,1,3/29/2016,ADP,1711455,89.43,451020,7374,,,
1891,1,3/30/2016,ADP,1506560,89.15,451020,7374,,,
1891,1,3/31/2016,ADP,1482245,89.71,451020,7374,,,
1891,1,4/1/2016,ADP,1626486,90.26,451020,7374,,,
1891,1,4/4/2016,ADP,1179093,89.71,451020,7374,,,
1891,1,4/5/2016,ADP,1783667,89.75,451020,7374,,,
1891,1,4/6/2016,ADP,1886283,90.84,451020,7374,,,
1891,1,4/7/2016,ADP,1655170,89.8,451020,7374,,,
1891,1,4/8/2016,ADP,1086721,90.33,451020,7374,,,
1891,1,4/11/2016,ADP,1561594,89.71,451020,7374,,,
1891,1,4/12/2016,ADP,1503853,90.11,451020,7374,,,
1891,1,4/13/2016,ADP,1661982,90.24,451020,7374,,,
1891,1,4/14/2016,ADP,1802528,90.26,451020,7374,,,
